RRT - sent_id,RRT - verb position,RRT - verb lemma,DCV - unit,DCV - frame
dev-716,29,duce,14,"GN [nom]|GN [ac]"
train-7121,34,cere,1,"GN [ac] / GV [(ca) să]"
train-2679,11,deveni,1,"_|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]"
train-1438,5,reprezenta,1,"GN [nom]|GN [ac]"
train-335,7,da,1,"GN [dat] / GP [la]|GN [ac]"
train-3299,11,cuprinde,2,"GN [nom]|_|GN [ac]"
train-2347,3,confirma,1,"GN [nom] / GV [că]|GN [ac] / GV [că]"
test-501,17,înmuia,2,"GN [nom]|_"
dev-527,18,transforma,1,"_|GN [ac]|GP [din / de la]|GP [în]"
train-7903,2,avea,1,"GN [nom]|GN [ac]"
train-152,15,schimba,5,"_|GN [nom]|_|GP [în]"
train-706,4,uita,1,"GN [nom]|_|GP [] / GAdv []|GP [] / GAdv [] / GAdj [nom]"
train-1941,63,avea,1,"GN [nom]|GN [ac]"
train-7717,37,exista,1,"_|GP [] / GAdv []"
test-83,1,executa,1,"GN [ac]"
train-195,29,veni,1,"GN [nom]|GP [] / GAdv []|GP []"
train-786,3,sufla,1,"GN [nom]|_|_|GP []"
train-2169,6,însemna,1,"GP [pentru]|GN [nom] / GV [să] / GV [dacă] / V [inf.]|GN [nom] / GV [că] / GV [să] / V [inf.]"
train-7592,17,prelua,1,"_|GN [nom]|GN [ac]"
train-2178,11,face,1,"_|GN [ac]"
train-3158,3,scoate,1,"GN [nom]|GN [ac]|GP [din / de (sub / la …)]|GP [] / GAdv []|GP []|GP [cu]"
test-691,11,deveni,1,"GN [nom]|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]|_"
test-407,18,ascunde,2,"GN [nom]|GV [că] / GN [ac]|GN [dat]"
train-296,6,spune,1,"GN [dat] / GP [la]|_|GN [ac] / GV [că] / GV [unde / cum…] / GV [-]|_"
train-7599,32,avea,1,"GN [ac]"
dev-683,46,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [ac]"
train-437,25,conține,1,"GN [nom]|_|GN [ac]"
test-334,6,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|_|GN [ac]"
test-97,3,sufla,1,"GN [nom]|_|_|GP []"
train-7677,20,avea,1,"GN [nom]|GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [ac]"
train-1292,1,lucra,1,"_|GP [ca] / GP [la / cu] / GP [la / în]"
train-1128,4,elabora,1,"GN [nom]|GN [ac]"
train-2617,11,reveni,1,"GP []|GN [nom]"
train-864,5,axa,1,"GN [nom]|_|GP [pe]"
train-1308,13,afla,2,"GP [] / GAdv []|_"
train-2219,6,vizita,1,"GN [ac]|_"
dev-295,9,părea,2,"GN [nom] / GV [să / că]|GN [nom] / GAdj [nom] / GP [] / V [part. / inf.] / V [de sup.] / GAdv []"
train-7101,11,avea,1,"GN [nom]|GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [ac]"
train-7102,10,face,3,"GN [nom]|GN [ac]|GV [să];GN [nom]|GV [(ca) să]"
test-463,6,deveni,1,"GN [nom]|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]"
